"","locus_tag","gene"
"770","LFT_02426","ccsB"
"771","LFT_02429","mlaE_3"
"772","LFT_02430","alr1"
"773","LFT_02440","fdx_2"
"774","LFT_02454","def_1"
"775","LFT_02456","estB_2"
"776","LFT_02470","amyA_1"
"777","LFT_02471","amyA_2"
"778","LFT_02482","hup_2"
"779","LFT_02484","clpB_2"
"780","LFT_02530","ppcA_1"
"781","LFT_02531","ppcA_2"
"782","LFT_02532","ppcA_3"
"783","LFT_02538","fdx_3"
"784","LFT_02541","rnc_2"
"785","LFT_02557","cbiET_1"
"786","LFT_02558","cbiET_2"
"787","LFT_02562","def_2"
"788","LFT_02569","pstS1_2"
"789","LFT_02584","leuA_3"
"790","LFT_02588","ilvB"
